url,name,born,died,alma_mater,education,influences,notable_ideas,contributions,doctoral_advisors,doctoral_students,image_url
https://en.wikipedia.org/wiki/Roy_Harrod,Roy Harrod,1900-02-13,(1978-03-08),"['New College, Oxford', ""King's College, Cambridge""]",[],"['John Maynard Keynes', 'John A. Hobson']",[],['Harrod–Domar model'],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Railway_Club_at_Oxford.jpg/220px-Railway_Club_at_Oxford.jpg
https://en.wikipedia.org/wiki/Charles_Knickerbocker_Harley,Charles Knick Harley,1943,,[],"['College of Wooster', 'Harvard University']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Tim_Harford,Tim Harford,1973-09-27,,"['University of Oxford', '4']",['Aylesbury Grammar School'],[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tim_Harford_in_2012_%28cropped%29.jpg/220px-Tim_Harford_in_2012_%28cropped%29.jpg
https://en.wikipedia.org/wiki/Campbell_Harvey,Campbell Harvey,1958-06-23,,"['University of Chicago', 'University of Toronto', ""Royal St. George's College""]",[],"['Eugene Fama', 'Merton Miller']",[],[],[],[],[]
https://en.wikipedia.org/wiki/Friedrich_Hayek,Friedrich Hayek,1899-05-08,(1992-03-23),[],"['University of Vienna', 'Dr. jur.', 'Dr. rer. pol']","['Acton', 'Belloc', 'Böhm-Bawerk', 'Benson', 'Burke', 'Carlyle', 'Chesterton', 'Darwin', 'Dickens', 'Eucken', 'Ferguson', 'Fetter', 'Franklin', 'Freud', 'Gibbon', 'Hume', 'Hobbes', 'Jefferson', 'Keynes', 'Lewis', 'Locke', 'Mach', 'Mandeville', 'Marx', 'Maistre', 'Menger', 'Mill', 'Mises', 'Newman', 'Nietzsche', 'Orwell', 'Paine', 'Popper', 'Rousseau', 'Schmitt', 'Sidney', 'Smith', 'Spann', 'Tolkien', 'Tocqueville', 'Tucker', 'Twain', 'Voltaire', 'Wicksell', 'Wieser', 'Wittgenstein', 'Classical economics', 'French liberal school', 'Frédéric Bastiat', 'Jean-Baptiste Say', 'Gustave de Molinari', 'School of Salamanca']",[],"['Economic calculation problem', 'Dispersed knowledge', 'Price signal', 'Spontaneous order', 'Austrian Business Cycle Theory', 'Hayek–Hebb model']",[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Friedrich_Hayek_portrait.jpg/220px-Friedrich_Hayek_portrait.jpg
https://en.wikipedia.org/wiki/Arnold_Harberger,Arnold Harberger,1924-07-27,,"['Johns Hopkins University', 'BA', 'University of Chicago', 'MA', 'PhD']",[],[],[],[],['Lloyd Metzler'],"['Yoram Barzel', 'Gregory Chow', 'Sebastián Edwards', 'Zvi Griliches', 'Robert Lucas, Jr.', 'Richard Muth', '1', 'Marc Nerlove']",[]
https://en.wikipedia.org/wiki/Mahbub_ul_Haq,Mahbub ul Haq,1934-02-24,(1998-07-16),"['University of The Punjab', ""King's College, Cambridge"", 'Yale University']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Eric_Hanushek,Eric Hanushek,1943-05-22,,"['Massachusetts Institute of Technology', 'United States Air Force Academy']",[],[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Eric_Hanushek_speaking_at_Using_Evidence_to_Improve_Education_%28cropped%29.png/220px-Eric_Hanushek_speaking_at_Using_Evidence_to_Improve_Education_%28cropped%29.png
https://en.wikipedia.org/wiki/Lars_Peter_Hansen,Lars Peter Hansen,1952-10-26,,"['University of Minnesota', 'Utah State University']",[],"['Thomas J. Sargent', 'Christopher A. Sims']",[],[],['Christopher A. Sims'],"['Narayana Kocherlakota', '1', 'Masao Ogaki', 'Amir Yaron', 'Ravi Jagannathan']",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Nobel_Prize_laureate_Lars_Peter_Hansen_at_press_conference_2013_2.jpg/200px-Nobel_Prize_laureate_Lars_Peter_Hansen_at_press_conference_2013_2.jpg
https://en.wikipedia.org/wiki/Alvin_Hansen,Alvin Hansen,1887-08-23,(1975-06-06),"['University of Wisconsin–Madison', 'Yankton College']",[],['John Maynard Keynes'],[],"['IS–LM model', 'Secular stagnation theory']",[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Prof._Alvin_W._Hansen_of_Harvard_U._before_Senate_Unemployment_%26_Relief_Comm._Hearings_LCCN2016878028_%28cropped%29.jpg/220px-Prof._Alvin_W._Hansen_of_Harvard_U._before_Senate_Unemployment_%26_Relief_Comm._Hearings_LCCN2016878028_%28cropped%29.jpg
